AC_NAME,AC_NO,reg_count,full_pay_count,part_pay_count,no_pay_count,extra_pay_count,no_install_paid,no_install_due,amount_paid,amount_due
SARASKANA (ST),27,33184.0,4926.0,6986.0,1923.0,19349.0,175647.0,189829.0,351294000.0,379658000.0
SATYABADI,109,34109.0,5151.0,12042.0,2546.0,14370.0,154262.0,202962.0,308524000.0,405924000.0
SIMULIA,42,47564.0,4961.0,12652.0,4022.0,25929.0,222740.0,269149.0,445480000.0,538298000.0
SONEPUR,65,38822.0,6494.0,8431.0,3269.0,20628.0,202845.0,235233.0,405690000.0,470466000.0
SORO (SC),41,27187.0,4977.0,6608.0,2591.0,13011.0,127120.0,152019.0,254240000.0,304038000.0
SUKINDA,54,18938.0,2854.0,6644.0,1295.0,8145.0,87713.0,111841.0,175426000.0,223682000.0
SUNDERGARH (ST),9,32085.0,4713.0,6435.0,2187.0,18750.0,174334.0,190783.0,348668000.0,381566000.0
SURADA,129,21545.0,4501.0,6726.0,1945.0,8373.0,101039.0,129782.0,202078000.0,259564000.0
TALCHER,60,10406.0,1185.0,3709.0,583.0,4929.0,48077.0,61985.0,96154000.0,123970000.0
TALSARA (ST),8,42227.0,6467.0,6590.0,2494.0,26676.0,236856.0,248593.0,473712000.0,497186000.0
TELKOI(ST),20,47929.0,10980.0,12743.0,2393.0,21813.0,250081.0,286632.0,500162000.0,573264000.0
TIRTOL (SC),102,30768.0,5071.0,10786.0,2001.0,12910.0,139755.0,182141.0,279510000.0,364282000.0
TITLAGARH,69,45273.0,7751.0,11703.0,4467.0,21352.0,220460.0,263424.0,440920000.0,526848000.0
UDALA (ST),31,30735.0,5243.0,8785.0,1675.0,15032.0,156654.0,182061.0,313308000.0,364122000.0
UMERKOTE (ST),73,30047.0,2695.0,8344.0,3555.0,15453.0,131260.0,159913.0,262520000.0,319826000.0
