,OBJECTID_1,OBJECTID,S_CODE,S_NAME,D_CODE,D_NAME,AC_NAME,PC_NO,PC_NAME,AC_NO,Shape_Length,Shape_Area,OBJECTID_2,S_CODE_2,S_NAME_2,D_CODE_2,D_NAME_2,PS_CODE,PS_NAME,B_CODE,B_NAME,TRU,AC_NAME_2,PC_NAME_2,GP_CODE,GP_NAME,V_CODE,V_NAME,CLASS,NO_HH,TOT_P,TOT_M,TOT_F,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,Shape_Length_2,Shape_Area_2,PM_Kisan_merged_vill_name,PM_Kisan_merged_vill_code,PM_Kisan_merged_reg_count,PM_Kisan_merged_full_pay_count,PM_Kisan_merged_part_pay_count,PM_Kisan_merged_no_pay_count,PM_Kisan_merged_extra_pay_count,PM_Kisan_merged_no_install_paid,PM_Kisan_merged_no_install_due,PM_Kisan_merged_amount_paid,PM_Kisan_merged_amount_due
24798,80,82,21,ODISHA,384,ANUGUL,PALLAHARA,9,DHENKANAL,59,3.20327936314114,0.150393653165546,10119.0,21.0,ODISHA,384.0,ANUGUL,3000.0,PALALAHADA P.S,3282.0,PALALAHADA,RURAL,PALLAHARA,DHENKANAL,115728.0,NAGIRA,403393.0,KHADAKA,VILLAGE,69.0,330.0,157.0,173.0,50.0,35.0,15.0,280.0,122.0,158.0,0.112635367280486,0.00067848307183,,,,,,,,,,,
24799,80,82,21,ODISHA,384,ANUGUL,PALLAHARA,9,DHENKANAL,59,3.20327936314114,0.150393653165546,10118.0,21.0,ODISHA,384.0,ANUGUL,3000.0,PALALAHADA P.S,3282.0,PALALAHADA,RURAL,PALLAHARA,DHENKANAL,115728.0,NAGIRA,403399.0,SALEI,VILLAGE,97.0,473.0,223.0,250.0,71.0,48.0,23.0,402.0,175.0,227.0,0.114575623740655,0.0006453834997839,,,,,,,,,,,
24800,80,82,21,ODISHA,384,ANUGUL,PALLAHARA,9,DHENKANAL,59,3.20327936314114,0.150393653165546,9890.0,21.0,ODISHA,384.0,ANUGUL,3000.0,PALALAHADA P.S,3282.0,PALALAHADA,RURAL,PALLAHARA,DHENKANAL,115728.0,NAGIRA,403398.0,BARUNDIHA,VILLAGE,34.0,174.0,87.0,87.0,31.0,27.0,4.0,143.0,60.0,83.0,0.0695124291973519,0.0002636015051686,,,,,,,,,,,
27595,88,90,21,ODISHA,386,KHORDHA,BHUBANESWAR(CENTRAL) MADHYA,18,BHUBANESWAR,112,0.808006324153055,0.0159813689933221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31706,105,107,21,ODISHA,388,GANJAM,DIGAPAHANDI,20,BERHAMPUR,134,2.30031298460489,0.0644111000335211,36153.0,21.0,ODISHA,388.0,GANJAM,3097.0,NUAGAON P.S,3372.0,DIGAPAHANDI,UI,DIGAPAHANDI,BERHAMPUR,117740.0,KHAMARIGAM,412939.0,BADAPADAHILL,VILLAGE (UI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0254024967604605,2.93887979135786e-05,Badapadahill - (412939),412939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31729,105,107,21,ODISHA,388,GANJAM,DIGAPAHANDI,20,BERHAMPUR,134,2.30031298460489,0.0644111000335211,34287.0,21.0,ODISHA,388.0,GANJAM,3097.0,NUAGAON P.S,3372.0,DIGAPAHANDI,UI,DIGAPAHANDI,BERHAMPUR,117740.0,KHAMARIGAM,412939.0,BADAPADAHILL,VILLAGE (UI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223362955785215,0.0007233210759113,Badapadahill - (412939),412939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39719,121,124,21,ODISHA,392,SUBARNAPUR,SONEPUR,10,BOLANGIR,65,2.52969442477791,0.0929997668044884,9118.0,21.0,ODISHA,392.0,SUBARNAPUR,3139.0,SONAPUR P.S,3570.0,SONEPUR,RURAL,SONEPUR,BOLANGIR,121483.0,MALLIKMUNDA,419563.0,MALLIKMUNDA,VILLAGE,191.0,808.0,415.0,393.0,432.0,254.0,178.0,376.0,161.0,215.0,0.0503255752272096,0.000138332043103,Mallikmunda - (419563),419563.0,134.0,52.0,40.0,4.0,38.0,753.0,879.0,1506000.0,1758000.0
39730,121,124,21,ODISHA,392,SUBARNAPUR,SONEPUR,10,BOLANGIR,65,2.52969442477791,0.0929997668044884,8692.0,21.0,ODISHA,392.0,SUBARNAPUR,3139.0,SONAPUR P.S,3570.0,SONEPUR,RURAL,SONEPUR,BOLANGIR,121483.0,MALLIKMUNDA,419563.0,MALLIKMUNDA,VILLAGE,191.0,808.0,415.0,393.0,432.0,254.0,178.0,376.0,161.0,215.0,0.0602805108095222,0.0002051319116312,Mallikmunda - (419563),419563.0,134.0,52.0,40.0,4.0,38.0,753.0,879.0,1506000.0,1758000.0
42745,130,133,21,ODISHA,395,KALAHANDI,DHARMGARH,11,KALAHANDI,79,2.56761371953623,0.094356627137886,43098.0,21.0,ODISHA,395.0,KALAHANDI,3168.0,DHARAMGARH P.S,3410.0,DHARAMAGARH,RURAL,DHARMGARH,KALAHANDI,118633.0,DHARMAGARH,423959.0,TALPADAR,VILLAGE,188.0,675.0,336.0,339.0,367.0,221.0,146.0,308.0,115.0,193.0,0.0745228214497709,0.0002380893168789,,,,,,,,,,,
46623,136,139,21,ODISHA,396,RAYAGADA,RAYAGADA(ST),21,KORAPUT (ST),140,4.40452057218038,0.193276598834275,45534.0,21.0,ODISHA,396.0,RAYAGADA,3180.0,DORAGUDA P.S,3552.0,KASIPUR,UI,RAYAGADA(ST),KORAPUT (ST),121176.0,DONGASIL,426158.0,KODITIKHALA,VILLAGE (UI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085485480246356,5.24151057184607e-06,Koditikhala - (426158),426158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
