,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,area_AC,OBJECTID_2,S_CODE,S_NAME,D_CODE,D_NAME,PS_CODE,PS_NAME,B_CODE,B_NAME,TRU,AC_NAME_2,PC_NAME_2,GP_CODE,GP_NAME,V_CODE,V_NAME,CLASS,NO_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3,MARGWORK_4,MARGWORK_5,MARG_CL_3_,MARG_CL_31,MARG_CL_32,MARG_AL_3_,MARG_AL_31,MARG_AL_32,MARG_HH_3_,MARG_HH_31,MARG_HH_32,MARG_OT_3_,MARG_OT_31,MARG_OT_32,MARGWORK_0,MARGWORK_1,MARGWORK_2,MARG_CL_0_,MARG_CL_01,MARG_CL_02,MARG_AL_0_,MARG_AL_01,MARG_AL_02,MARG_HH_0_,MARG_HH_01,MARG_HH_02,MARG_OT_0_,MARG_OT_01,MARG_OT_02,NON_WORK_P,NON_WORK_M,NON_WORK_F,Shape_Length,Shape_Area_2,PM_Kisan_merged_Shape_Length,PM_Kisan_merged_Shape_Area,PM_Kisan_merged_state_name,PM_Kisan_merged_state_code,PM_Kisan_merged_dist_name,PM_Kisan_merged_dist_code,PM_Kisan_merged_sub_name,PM_Kisan_merged_sub_code,PM_Kisan_merged_vill_name,PM_Kisan_merged_vill_code,PM_Kisan_merged_reg_count,PM_Kisan_merged_full_pay_count,PM_Kisan_merged_part_pay_count,PM_Kisan_merged_no_pay_count,PM_Kisan_merged_extra_pay_count,PM_Kisan_merged_no_install_paid,PM_Kisan_merged_no_install_due,PM_Kisan_merged_amount_paid,PM_Kisan_merged_amount_due,Area_village
15204,,,,,,,-1,0,-1,,,9,21,ORISSA,14,DHENKANAL,58,PARJANGA,9,DHENKANAL,2109,,2.46394245064,0.135877521,1564081216.07,2205.0,21.0,ODISHA,383.0,DHENKANAL,2987.0,PARJANG P.S,3356.0,PARJANG,RURAL,PARJANGA,DHENKANAL,117416.0,CHANDPUR,402302.0,TULASIPASI,VILLAGE,103.0,344.0,190.0,154.0,37.0,23.0,14.0,169.0,98.0,71.0,0.0,0.0,0.0,267.0,159.0,108.0,77.0,31.0,46.0,166.0,121.0,45.0,20.0,15.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,15.0,4.0,146.0,106.0,40.0,18.0,18.0,0.0,60.0,34.0,26.0,0.0,0.0,0.0,68.0,54.0,14.0,143.0,103.0,40.0,18.0,18.0,0.0,58.0,32.0,26.0,0.0,0.0,0.0,67.0,53.0,14.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,178.0,69.0,109.0,0.139232914574214,0.0004764986754905,0.0562022326512088,0.0001388182329606,ODISHA,21.0,DHENKANAL,352.0,Parajang,2987.0,Tulasipasi - (402302),402302.0,28.0,3.0,13.0,1.0,11.0,118.0,174.0,"2,36,000","3,48,000",5491141.907
17453,,,,,,,-1,0,-1,,,10,21,ORISSA,23,SONAPUR  *,65,SONEPUR,10,BOLANGIR,2110,,2.39060772295,0.09324710828,1074326504.711,8692.0,21.0,ODISHA,392.0,SUBARNAPUR,3139.0,SONAPUR P.S,3570.0,SONEPUR,RURAL,SONEPUR,BOLANGIR,121483.0,MALLIKMUNDA,419563.0,MALLIKMUNDA,VILLAGE,191.0,808.0,415.0,393.0,121.0,69.0,52.0,479.0,251.0,228.0,46.0,21.0,25.0,432.0,254.0,178.0,376.0,161.0,215.0,284.0,211.0,73.0,212.0,191.0,21.0,33.0,28.0,5.0,140.0,128.0,12.0,6.0,6.0,0.0,33.0,29.0,4.0,72.0,20.0,52.0,0.0,0.0,0.0,67.0,17.0,50.0,1.0,1.0,0.0,4.0,2.0,2.0,67.0,19.0,48.0,0.0,0.0,0.0,62.0,16.0,46.0,1.0,1.0,0.0,4.0,2.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,204.0,320.0,0.0602805108095222,0.0002051319116312,0.0503255752272096,0.000138332043103,ODISHA,21.0,SONEPUR,372.0,Sonapur,3139.0,Mallikmunda - (419563),419563.0,134.0,52.0,40.0,4.0,38.0,753.0,879.0,"15,06,000","17,58,000",2363843.867
17669,,,,,,,-1,0,-1,,,10,21,ORISSA,23,SONAPUR  *,65,SONEPUR,10,BOLANGIR,2110,,2.39060772295,0.09324710828,1074326504.711,9118.0,21.0,ODISHA,392.0,SUBARNAPUR,3139.0,SONAPUR P.S,3570.0,SONEPUR,RURAL,SONEPUR,BOLANGIR,121483.0,MALLIKMUNDA,419563.0,MALLIKMUNDA,VILLAGE,191.0,808.0,415.0,393.0,121.0,69.0,52.0,479.0,251.0,228.0,46.0,21.0,25.0,432.0,254.0,178.0,376.0,161.0,215.0,284.0,211.0,73.0,212.0,191.0,21.0,33.0,28.0,5.0,140.0,128.0,12.0,6.0,6.0,0.0,33.0,29.0,4.0,72.0,20.0,52.0,0.0,0.0,0.0,67.0,17.0,50.0,1.0,1.0,0.0,4.0,2.0,2.0,67.0,19.0,48.0,0.0,0.0,0.0,62.0,16.0,46.0,1.0,1.0,0.0,4.0,2.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,204.0,320.0,0.0503255752272096,0.000138332043103,0.0503255752272096,0.000138332043103,ODISHA,21.0,SONEPUR,372.0,Sonapur,3139.0,Mallikmunda - (419563),419563.0,134.0,52.0,40.0,4.0,38.0,753.0,879.0,"15,06,000","17,58,000",1594182.294
22267,,,,,,,-1,0,-1,,,9,21,ORISSA,14,DHENKANAL,55,DHENKANAL,9,DHENKANAL,2109,,2.10997449163,0.08932577061,1030202528.058,51308.0,21.0,ODISHA,383.0,DHENKANAL,2991.0,GANDIA P.S,3351.0,GONDIA,RURAL,DHENKANAL,DHENKANAL,117298.0,MANDAR A,402302.0,TULASIPASI,VILLAGE,103.0,344.0,190.0,154.0,37.0,23.0,14.0,169.0,98.0,71.0,0.0,0.0,0.0,267.0,159.0,108.0,77.0,31.0,46.0,166.0,121.0,45.0,20.0,15.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,15.0,4.0,146.0,106.0,40.0,18.0,18.0,0.0,60.0,34.0,26.0,0.0,0.0,0.0,68.0,54.0,14.0,143.0,103.0,40.0,18.0,18.0,0.0,58.0,32.0,26.0,0.0,0.0,0.0,67.0,53.0,14.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,178.0,69.0,109.0,0.0562022326512088,0.0001388182329606,0.0562022326512088,0.0001388182329606,ODISHA,21.0,DHENKANAL,352.0,Parajang,2987.0,Tulasipasi - (402302),402302.0,28.0,3.0,13.0,1.0,11.0,118.0,174.0,"2,36,000","3,48,000",1599749.718
24376,,,,,,,-1,0,-1,,,15,21,ORISSA,10,KENDRAPARA *,99,RAJANAGAR,15,KENDRAPARA,2115,,1.73980464103,0.06403348478,738886799.528,14662.0,21.0,ODISHA,379.0,KENDRAPARA,2923.0,RAJNAGAR P.S,3442.0,RAJNAGAR,RURAL,RAJNAGAR,KENDRAPARA,119236.0,DERA,395984.0,KAITHA,VILLAGE,196.0,971.0,499.0,472.0,135.0,71.0,64.0,372.0,201.0,171.0,0.0,0.0,0.0,744.0,397.0,347.0,227.0,102.0,125.0,293.0,276.0,17.0,77.0,74.0,3.0,42.0,42.0,0.0,19.0,19.0,0.0,8.0,6.0,2.0,8.0,7.0,1.0,216.0,202.0,14.0,6.0,5.0,1.0,196.0,193.0,3.0,1.0,1.0,0.0,13.0,3.0,10.0,206.0,192.0,14.0,5.0,4.0,1.0,187.0,184.0,3.0,1.0,1.0,0.0,13.0,3.0,10.0,10.0,10.0,0.0,1.0,1.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.0,223.0,455.0,0.0659174871294853,0.0001835216639647,0.0322797773856875,3.77591103997697e-05,ODISHA,21.0,KENDRAPARA,360.0,Rajnagar,2923.0,Kaitha - (395984),395984.0,97.0,3.0,10.0,20.0,64.0,432.0,505.0,"8,64,000","10,10,000",2118484.624
24621,,,,,,,-1,0,-1,,,15,21,ORISSA,10,KENDRAPARA *,99,RAJANAGAR,15,KENDRAPARA,2115,,1.73980464103,0.06403348478,738886799.528,15624.0,21.0,ODISHA,379.0,KENDRAPARA,2923.0,RAJNAGAR P.S,3442.0,RAJNAGAR,RURAL,RAJNAGAR,KENDRAPARA,119236.0,DERA,395984.0,KAITHA,VILLAGE,196.0,971.0,499.0,472.0,135.0,71.0,64.0,372.0,201.0,171.0,0.0,0.0,0.0,744.0,397.0,347.0,227.0,102.0,125.0,293.0,276.0,17.0,77.0,74.0,3.0,42.0,42.0,0.0,19.0,19.0,0.0,8.0,6.0,2.0,8.0,7.0,1.0,216.0,202.0,14.0,6.0,5.0,1.0,196.0,193.0,3.0,1.0,1.0,0.0,13.0,3.0,10.0,206.0,192.0,14.0,5.0,4.0,1.0,187.0,184.0,3.0,1.0,1.0,0.0,13.0,3.0,10.0,10.0,10.0,0.0,1.0,1.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.0,223.0,455.0,0.0322797773856875,3.77591103997697e-05,0.0322797773856875,3.77591103997697e-05,ODISHA,21.0,KENDRAPARA,360.0,Rajnagar,2923.0,Kaitha - (395984),395984.0,97.0,3.0,10.0,20.0,64.0,432.0,505.0,"8,64,000","10,10,000",435797.292
30693,,,,,,,-1,0,-1,,,16,21,ORISSA,11,JAGATSINGHAPUR  *,102,TIRTOL (SC),16,JAGATSINGHPUR (SC),2116,,1.49395300806,0.03412847183,394612383.696,24842.0,21.0,ODISHA,380.0,JAGATSINGHPUR,2940.0,JAGATSINGHAPUR P.S,3392.0,RAGHUNATHPUR,RURAL,TIRTOL (SC),JAGATSINGHPUR (SC),118196.0,JAGANNATHPUR,397787.0,JAGANATHPUR,VILLAGE,991.0,3849.0,1980.0,1869.0,371.0,180.0,191.0,839.0,434.0,405.0,5.0,2.0,3.0,3127.0,1714.0,1413.0,722.0,266.0,456.0,1230.0,1092.0,138.0,935.0,839.0,96.0,114.0,110.0,4.0,298.0,269.0,29.0,61.0,58.0,3.0,462.0,402.0,60.0,295.0,253.0,42.0,71.0,71.0,0.0,110.0,108.0,2.0,4.0,3.0,1.0,110.0,71.0,39.0,291.0,249.0,42.0,69.0,69.0,0.0,109.0,107.0,2.0,4.0,3.0,1.0,109.0,70.0,39.0,4.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2619.0,888.0,1731.0,0.0520917370636319,0.0001507975921369,,,,,,,,,,,,,,,,,,,,1743030.173
30888,,,,,,,-1,0,-1,,,16,21,ORISSA,11,JAGATSINGHAPUR  *,102,TIRTOL (SC),16,JAGATSINGHPUR (SC),2116,,1.49395300806,0.03412847183,394612383.696,25586.0,21.0,ODISHA,380.0,JAGATSINGHPUR,2940.0,JAGATSINGHAPUR P.S,3392.0,RAGHUNATHPUR,RURAL,TIRTOL (SC),JAGATSINGHPUR (SC),118207.0,TARIKUNDA,397852.0,HARIRAMPATNA,VILLAGE,161.0,803.0,425.0,378.0,74.0,48.0,26.0,117.0,65.0,52.0,0.0,0.0,0.0,646.0,356.0,290.0,157.0,69.0,88.0,282.0,253.0,29.0,184.0,170.0,14.0,113.0,110.0,3.0,12.0,12.0,0.0,3.0,3.0,0.0,56.0,45.0,11.0,98.0,83.0,15.0,37.0,35.0,2.0,41.0,34.0,7.0,1.0,1.0,0.0,19.0,13.0,6.0,95.0,81.0,14.0,37.0,35.0,2.0,39.0,33.0,6.0,1.0,1.0,0.0,18.0,12.0,6.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,521.0,172.0,349.0,0.028914547648847,4.97503034366195e-05,,,,,,,,,,,,,,,,,,,,575226.757
32598,,,,,,,-1,0,-1,,,16,21,ORISSA,11,JAGATSINGHAPUR  *,101,PARADEEP,16,JAGATSINGHPUR (SC),2116,,1.3634882192,0.02977401306,344292264.029,25538.0,21.0,ODISHA,380.0,JAGATSINGHPUR,2937.0,ABHYACHANDPUR P.S,3390.0,KUJANG,RURAL,PARADEEP,JAGATSINGHPUR (SC),118164.0,NUAGARRH,397141.0,UDAYACHANDRAPUR,VILLAGE,50.0,200.0,104.0,96.0,43.0,19.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,71.0,50.0,79.0,33.0,46.0,73.0,57.0,16.0,70.0,56.0,14.0,3.0,3.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,61.0,50.0,11.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,47.0,80.0,0.0716250487533436,0.0003212525124954,,,,,,,,,,,,,,,,,,,,3715416.765
32608,,,,,,,-1,0,-1,,,16,21,ORISSA,11,JAGATSINGHAPUR  *,101,PARADEEP,16,JAGATSINGHPUR (SC),2116,,1.3634882192,0.02977401306,344292264.029,25587.0,21.0,ODISHA,380.0,JAGATSINGHPUR,2939.0,TIRTOL P.S,3393.0,TIRTOL,RURAL,PARADEEP,JAGATSINGHPUR (SC),118230.0,SAMANTARAPUR,397527.0,KULASAMANTARAPUR,VILLAGE,244.0,1009.0,517.0,492.0,91.0,52.0,39.0,93.0,49.0,44.0,0.0,0.0,0.0,833.0,443.0,390.0,176.0,74.0,102.0,347.0,323.0,24.0,338.0,320.0,18.0,141.0,141.0,0.0,76.0,69.0,7.0,10.0,10.0,0.0,111.0,100.0,11.0,9.0,3.0,6.0,3.0,2.0,1.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,3.0,2.0,1.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.0,194.0,468.0,0.0192686558304118,1.70131897025624e-05,,,,,,,,,,,,,,,,,,,,196668.135
33266,,,,,,,-1,0,-1,,,18,21,ORISSA,17,KHORDHA  *,112,BHUBANESWAR(MADHYA),18,BHUBANESWAR,2118,,0.45304806683,0.00769393554,88982349.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34237,,,,,,,-1,0,-1,,,16,21,ORISSA,11,JAGATSINGHAPUR  *,103,BALIKUDA-ERASAMA,16,JAGATSINGHPUR (SC),2116,,1.48061407488,0.05949743138,688665585.896,24351.0,21.0,ODISHA,380.0,JAGATSINGHPUR,2938.0,ERSAMA P.S,3388.0,ERASAMA,UI,BALIKUDA-ERASAMA,JAGATSINGHPUR (SC),118172.0,ZILLANASI,397399.0,KULADANDA,VILLAGE (UI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0308867546888586,5.76699697437153e-05,,,,,,,,,,,,,,,,,,,,667398.201
34255,,,,,,,-1,0,-1,,,16,21,ORISSA,11,JAGATSINGHAPUR  *,103,BALIKUDA-ERASAMA,16,JAGATSINGHPUR (SC),2116,,1.48061407488,0.05949743138,688665585.896,24373.0,21.0,ODISHA,380.0,JAGATSINGHPUR,2943.0,BALIKUDA P.S,3386.0,BALIKUDA,UI,BALIKUDA-ERASAMA,JAGATSINGHPUR (SC),118060.0,MARICHPUR,398409.0,NADIAKHIA,VILLAGE (UI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0984481312246177,0.0002968561573227,,,,,,,,,,,,,,,,,,,,3438477.125
34472,,,,,,,-1,0,-1,,,16,21,ORISSA,11,JAGATSINGHAPUR  *,103,BALIKUDA-ERASAMA,16,JAGATSINGHPUR (SC),2116,,1.48061407488,0.05949743138,688665585.896,25005.0,21.0,ODISHA,380.0,JAGATSINGHPUR,2942.0,NAUGAON P.S,3386.0,BALIKUDA,UI,BALIKUDA-ERASAMA,JAGATSINGHPUR (SC),118059.0,MACHHAGAON,398197.0,BILATELA SARA,VILLAGE (UI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0360223291875542,7.61481099150317e-05,,,,,,,,,,,,,,,,,,,,881843.91
34674,,,,,,,-1,0,-1,,,16,21,ORISSA,11,JAGATSINGHAPUR  *,103,BALIKUDA-ERASAMA,16,JAGATSINGHPUR (SC),2116,,1.48061407488,0.05949743138,688665585.896,25584.0,21.0,ODISHA,380.0,JAGATSINGHPUR,2938.0,ERSAMA P.S,3388.0,ERASAMA,RURAL,BALIKUDA-ERASAMA,JAGATSINGHPUR (SC),118107.0,KUNJAKOTHI,397389.0,NUARATANPUR,VILLAGE,329.0,1337.0,694.0,643.0,133.0,67.0,66.0,22.0,11.0,11.0,0.0,0.0,0.0,1096.0,599.0,497.0,241.0,95.0,146.0,432.0,402.0,30.0,347.0,322.0,25.0,248.0,237.0,11.0,47.0,45.0,2.0,4.0,4.0,0.0,48.0,36.0,12.0,85.0,80.0,5.0,8.0,6.0,2.0,57.0,56.0,1.0,0.0,0.0,0.0,20.0,18.0,2.0,50.0,47.0,3.0,7.0,6.0,1.0,28.0,27.0,1.0,0.0,0.0,0.0,15.0,14.0,1.0,35.0,33.0,2.0,1.0,0.0,1.0,29.0,29.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,905.0,292.0,613.0,0.0374669170878909,8.06453347112382e-05,,,,,,,,,,,,,,,,,,,,933092.91
39743,,,,,,,-1,0,-1,,,11,21,ORISSA,26,KALAHANDI,79,DHARMGARH,11,KALAHANDI,2111,,2.34082039958,0.09432508033,1094676618.691,43098.0,21.0,ODISHA,395.0,KALAHANDI,3168.0,DHARAMGARH P.S,3410.0,DHARAMAGARH,RURAL,DHARMGARH,KALAHANDI,118633.0,DHARMAGARH,423959.0,TALPADAR,VILLAGE,188.0,675.0,336.0,339.0,92.0,39.0,53.0,0.0,0.0,0.0,291.0,149.0,142.0,367.0,221.0,146.0,308.0,115.0,193.0,356.0,217.0,139.0,217.0,195.0,22.0,134.0,129.0,5.0,55.0,41.0,14.0,0.0,0.0,0.0,28.0,25.0,3.0,139.0,22.0,117.0,10.0,5.0,5.0,128.0,17.0,111.0,0.0,0.0,0.0,1.0,0.0,1.0,133.0,20.0,113.0,10.0,5.0,5.0,122.0,15.0,107.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,4.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,119.0,200.0,0.0745228214497709,0.0002380893168789,,,,,,,,,,,,,,,,,,,,2760898.677
42062,,,,,,,-1,0,-1,,,12,21,ORISSA,28,NABARANGAPUR  *,74,JHARIGAM (ST),12,NABARANGPUR (ST),2112,,2.48522305578,0.13965703701,1621202837.086,46510.0,21.0,ODISHA,397.0,NABARANGAPUR,3189.0,UMARKOTE P.S,3522.0,UMERKOTE,RURAL,JHARIGAM (ST),NABARANGPUR (ST),120574.0,BENORA,427388.0,JANIGUDA,VILLAGE,45.0,212.0,102.0,110.0,44.0,22.0,22.0,0.0,0.0,0.0,202.0,97.0,105.0,86.0,54.0,32.0,126.0,48.0,78.0,115.0,51.0,64.0,104.0,49.0,55.0,43.0,38.0,5.0,56.0,8.0,48.0,2.0,2.0,0.0,3.0,1.0,2.0,11.0,2.0,9.0,1.0,0.0,1.0,9.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,9.0,1.0,0.0,1.0,9.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,51.0,46.0,0.0507043290775288,0.0001227336963756,,,,,,,,,,,,,,,,,,,,1425674.204
42121,,,,,,,-1,0,-1,,,12,21,ORISSA,28,NABARANGAPUR  *,74,JHARIGAM (ST),12,NABARANGPUR (ST),2112,,2.48522305578,0.13965703701,1621202837.086,46703.0,21.0,ODISHA,397.0,NABARANGAPUR,3190.0,CHANDAHANDI P.S,3513.0,CHANDAHANDI,RURAL,JHARIGAM (ST),NABARANGPUR (ST),120430.0,PATAKHALIA,427465.0,DHURUAPARA,VILLAGE,28.0,86.0,38.0,48.0,17.0,5.0,12.0,0.0,0.0,0.0,86.0,38.0,48.0,37.0,25.0,12.0,49.0,13.0,36.0,49.0,23.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,48.0,22.0,26.0,18.0,18.0,0.0,29.0,3.0,26.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,44.0,19.0,25.0,16.0,16.0,0.0,28.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,15.0,22.0,0.040450981639459,9.4471545094832e-05,,,,,,,,,,,,,,,,,,,,1095465.04
42302,,,,,,,-1,0,-1,,,12,21,ORISSA,28,NABARANGAPUR  *,74,JHARIGAM (ST),12,NABARANGPUR (ST),2112,,2.48522305578,0.13965703701,1621202837.086,47319.0,21.0,ODISHA,397.0,NABARANGAPUR,3190.0,CHANDAHANDI P.S,3513.0,CHANDAHANDI,UI,JHARIGAM (ST),NABARANGPUR (ST),120422.0,DALABEDA,427431.0,GHUNGUTIPARA,VILLAGE (UI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325419733493654,6.42474993157122e-05,,,,,,,,,,,,,,,,,,,,745171.311
42304,,,,,,,-1,0,-1,,,12,21,ORISSA,28,NABARANGAPUR  *,74,JHARIGAM (ST),12,NABARANGPUR (ST),2112,,2.48522305578,0.13965703701,1621202837.086,47321.0,21.0,ODISHA,397.0,NABARANGAPUR,3190.0,CHANDAHANDI P.S,3513.0,CHANDAHANDI,UI,JHARIGAM (ST),NABARANGPUR (ST),120426.0,KOILIMUNDA,427434.0,MALPODA,VILLAGE (UI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312425409173937,3.86579796727926e-05,,,,,,,,,,,,,,,,,,,,448157.79
