OBJECTID_1,OBJECTID,S_CODE,S_NAME,D_CODE,D_NAME,AC_NAME,PC_NO,PC_NAME,AC_NO,Shape_Length,Shape_Area
"84","86","21",ODISHA,"385",NAYAGARH,NAYAGARH,"17",PURI,"122",1.98475572983347,0.0508206253137504
"85","87","21",ODISHA,"385",NAYAGARH,RANPUR,"17",PURI,"119",1.83653511451457,0.0700236737137082
"86","88","21",ODISHA,"386",KHORDHA,BEGUNIA,"18",BHUBANESWAR,"116",1.84833021833096,0.0493377198154824
"87","89","21",ODISHA,"386",KHORDHA,BHUBANESWAR NORTH(UTTAR),"18",BHUBANESWAR,"113",0.302355120140156,0.00286273376391189
"88","90","21",ODISHA,"386",KHORDHA,BHUBANESWAR(CENTRAL) MADHYA,"18",BHUBANESWAR,"112",0.808006324153055,0.0159813689933221
"89","91","21",ODISHA,"386",KHORDHA,CHILIKA,"17",PURI,"118",1.54146173401467,0.0587454115733315
"90","92","21",ODISHA,"386",KHORDHA,EKAMRA-BHUBANESWAR,"18",BHUBANESWAR,"114",0.524289271784154,0.00257439757383897
"91","93","21",ODISHA,"386",KHORDHA,JATANI,"18",BHUBANESWAR,"115",1.86209399360085,0.0503062895353692
"92","94","21",ODISHA,"386",KHORDHA,JAYADEV(SC),"18",BHUBANESWAR,"111",1.12311444255869,0.0240963180600313
"93","95","21",ODISHA,"386",KHORDHA,KHORDHA,"18",BHUBANESWAR,"117",2.34205809610377,0.0471057679964617
"94","96","21",ODISHA,"387",PURI,BRAHMAGIRI,"17",PURI,"108",2.12743523299788,0.125699258590995
"95","97","21",ODISHA,"387",PURI,KAKATPUR (SC),"16",JAGATSINGHPUR (SC),"105",1.337136136811,0.0453672406741168
"96","98","21",ODISHA,"387",PURI,NIMAPARA,"16",JAGATSINGHPUR (SC),"106",1.2853648534845,0.0376184567608161
"97","99","21",ODISHA,"387",PURI,PIPILI,"17",PURI,"110",1.28629277324833,0.03577789902717
"98","100","21",ODISHA,"387",PURI,PURI,"17",PURI,"107",0.835415752918682,0.0195514388366607
"99","101","21",ODISHA,"387",PURI,SATYABADI,"17",PURI,"109",1.93344468270923,0.0342918129920155
"100","102","21",ODISHA,"388",GANJAM,ASKA,"19",ASKA,"128",1.34768620005229,0.0239520001754795
"101","103","21",ODISHA,"388",GANJAM,BERHAMPUR,"20",BERHAMPUR,"133",0.469462345126968,0.00294908016365363
"102","104","21",ODISHA,"388",GANJAM,BHANJANAGAR,"13",KANDHAMAL,"123",2.41441550878096,0.134458017259846
"103","105","21",ODISHA,"388",GANJAM,CHHATRAPUR(SC),"20",BERHAMPUR,"127",1.20083677868001,0.0417643278270524
"104","106","21",ODISHA,"388",GANJAM,CHIKITI,"20",BERHAMPUR,"135",2.82152924389558,0.069661701827269
"105","107","21",ODISHA,"388",GANJAM,DIGAPAHANDI,"20",BERHAMPUR,"134",2.30031298460489,0.0644111000335211
"106","108","21",ODISHA,"388",GANJAM,GOPALPUR,"20",BERHAMPUR,"132",1.35368640944896,0.0235850862147136
"107","109","21",ODISHA,"388",GANJAM,HINJILI,"19",ASKA,"131",1.46998501087728,0.0308052671095248
"108","110","21",ODISHA,"388",GANJAM,KAVISURYANAGAR,"19",ASKA,"125",1.80620492513235,0.0411392691009043
"109","111","21",ODISHA,"388",GANJAM,KHALIKOTE(SC),"19",ASKA,"126",1.966928920439,0.0482426650535792
"110","112","21",ODISHA,"388",GANJAM,POLOSARA,"19",ASKA,"124",1.71464146773435,0.0716714975665992
"111","113","21",ODISHA,"388",GANJAM,SANAKHEMUNDI,"19",ASKA,"130",2.60735426132746,0.0682297003967366
"112","114","21",ODISHA,"388",GANJAM,SURADA,"19",ASKA,"129",2.39176288008125,0.104556528758337
"113","116","21",ODISHA,"389",GAJAPATI,MOHANA (ST),"20",BERHAMPUR,"136",3.86167436473536,0.271590691725712
"114","117","21",ODISHA,"389",GAJAPATI,PARALAKHEMUNDI,"20",BERHAMPUR,"137",2.213414821817,0.0811768772885119
"115","118","21",ODISHA,"390",KANDHAMAL,BALIGUDA (ST),"13",KANDHAMAL,"82",4.39568389858165,0.262502914296904
"116","119","21",ODISHA,"390",KANDHAMAL,G.UDAYAGIRI (ST),"13",KANDHAMAL,"83",4.56834505594207,0.20896991200556
"117","120","21",ODISHA,"390",KANDHAMAL,PHULBANI (ST),"13",KANDHAMAL,"84",3.51037521605353,0.223154960432801
"118","121","21",ODISHA,"391",BOUDH,BOUDH,"13",KANDHAMAL,"86",2.65748716352155,0.144388710535683
"119","122","21",ODISHA,"391",BOUDH,KANTAMAL,"13",KANDHAMAL,"85",2.40337580675455,0.12295931055862
"120","123","21",ODISHA,"392",SUBARNAPUR,BIRAMAHARAJPUR (SC),"10",BOLANGIR,"64",1.96037077904078,0.112143857607633
"121","124","21",ODISHA,"392",SUBARNAPUR,SONEPUR,"10",BOLANGIR,"65",2.52969442477791,0.0929997668044884
"122","125","21",ODISHA,"393",BALANGIR,BOLANGIR,"10",BOLANGIR,"68",2.31697082429518,0.085149634760252
"123","126","21",ODISHA,"393",BALANGIR,KANTABANJI,"10",BOLANGIR,"70",2.71123483518132,0.117486093707992
"124","127","21",ODISHA,"393",BALANGIR,LOISINGHA (SC),"10",BOLANGIR,"66",2.68568742174532,0.0875480745987405
"125","128","21",ODISHA,"393",BALANGIR,PATNAGARH,"10",BOLANGIR,"67",2.38810996271365,0.161143024321655
"126","129","21",ODISHA,"393",BALANGIR,TITLAGARH,"10",BOLANGIR,"69",3.18953894565771,0.116084880213124
"127","130","21",ODISHA,"394",NUAPADA,KHARIAR,"11",KALAHANDI,"72",2.47183340821908,0.153540666084687
"128","131","21",ODISHA,"394",NUAPADA,NUAPADA,"11",KALAHANDI,"71",2.56911090828671,0.179811237253861
"129","132","21",ODISHA,"395",KALAHANDI,BHAWANIPATNA (SC),"11",KALAHANDI,"80",2.11184889710513,0.0682621460870177
"130","133","21",ODISHA,"395",KALAHANDI,DHARMGARH,"11",KALAHANDI,"79",2.56761371953623,0.094356627137886
"131","134","21",ODISHA,"395",KALAHANDI,JUNAGARH,"11",KALAHANDI,"78",2.73309983339562,0.11213997068119
"132","135","21",ODISHA,"395",KALAHANDI,LANJIGARH (ST),"11",KALAHANDI,"77",5.49046685109893,0.251488569593037
"133","136","21",ODISHA,"395",KALAHANDI,NARLA,"11",KALAHANDI,"81",2.6516501335265,0.154480234689848
"134","137","21",ODISHA,"396",RAYAGADA,BISSAM CUTTACK (ST),"21",KORAPUT (ST),"139",4.13991374637688,0.207245529454747
"135","138","21",ODISHA,"396",RAYAGADA,GUNUPUR (ST),"21",KORAPUT (ST),"138",3.5762473709507,0.23251436555596
"136","139","21",ODISHA,"396",RAYAGADA,RAYAGADA(ST),"21",KORAPUT (ST),"140",4.40452057218038,0.193276598834275
"137","140","21",ODISHA,"397",NABARANGAPUR,DABUGAM (ST),"12",NABRANGPUR (ST),"76",2.59991746305894,0.110839721947256
"138","141","21",ODISHA,"397",NABARANGAPUR,JHARIGAM (ST),"12",NABRANGPUR (ST),"74",2.7085524839096,0.139581994508208
"139","142","21",ODISHA,"397",NABARANGAPUR,NABARANGPUR (ST),"12",NABRANGPUR (ST),"75",3.11703738661226,0.0978776244271221
"140","143","21",ODISHA,"397",NABARANGAPUR,UMERKOTE (ST),"12",NABRANGPUR (ST),"73",1.99307096475365,0.121312842566204
"141","144","21",ODISHA,"398",KORAPUT,JEYPORE,"21",KORAPUT (ST),"143",1.74576757801012,0.0726882607148415
"142","145","21",ODISHA,"398",KORAPUT,KORAPUT(SC),"21",KORAPUT (ST),"144",3.05102706877826,0.118802140569131
"143","146","21",ODISHA,"398",KORAPUT,KOTPAD (ST),"12",NABRANGPUR (ST),"142",3.79692140380696,0.16058226317973
"144","147","21",ODISHA,"398",KORAPUT,LAKSHMIPUR (ST),"21",KORAPUT (ST),"141",4.07997086784233,0.203571545329492
"145","148","21",ODISHA,"398",KORAPUT,POTANGI (ST),"21",KORAPUT (ST),"145",3.13928135026617,0.177107461971191
"146","149","21",ODISHA,"399",MALKANGIRI,CHITRAKONDA (ST),"12",NABRANGPUR (ST),"147",4.13384719920388,0.239313837864543
"147","150","21",ODISHA,"399",MALKANGIRI,MALKANGIRI (ST),"12",NABRANGPUR (ST),"146",3.59829358254406,0.253869445259462
